frame,detected,det_conf,crop_px,score,verdict
frame_000160_UNKNOWN_-0.277,1,,78,-0.4491,UNKNOWN
frame_000161_UNKNOWN_-0.410,1,,81,-0.3097,UNKNOWN
frame_000162_UNKNOWN_-0.011,1,,82,-0.4822,UNKNOWN
frame_000163_UNKNOWN_0.001,1,,82,-0.4861,UNKNOWN
frame_000164_UNKNOWN_-0.039,1,,78,-0.2606,UNKNOWN
frame_000165_UNKNOWN_-0.079,1,,80,-0.2301,UNKNOWN
frame_000166_UNKNOWN_-0.300,1,,77,-0.0782,UNKNOWN
frame_000167_UNKNOWN_-0.212,1,,80,-0.1356,UNKNOWN
frame_000168_UNKNOWN_-0.236,1,,80,-0.1361,UNKNOWN
frame_000169_UNKNOWN_-0.207,1,,77,-0.1654,UNKNOWN
frame_000170_UNKNOWN_-0.168,1,,84,-0.1487,UNKNOWN
frame_000171_UNKNOWN_-0.203,1,,83,-0.1232,UNKNOWN
frame_000172_UNKNOWN_-0.165,1,,88,-0.1125,UNKNOWN
frame_000173_UNKNOWN_-0.192,1,,88,-0.1444,UNKNOWN
frame_000174_UNKNOWN_-0.011,1,,83,-0.1379,UNKNOWN
frame_000175_UNKNOWN_-0.056,1,,88,-0.1646,UNKNOWN
frame_000176_UNKNOWN_-0.133,1,,86,-0.322,UNKNOWN
frame_000177_UNKNOWN_-0.156,1,,92,-0.212,UNKNOWN
frame_000178_UNKNOWN_-0.206,1,,92,-0.226,UNKNOWN
frame_000179_UNKNOWN_-0.064,1,,90,-0.3387,UNKNOWN
frame_000180_UNKNOWN_-0.333,1,,98,-0.2036,UNKNOWN
frame_000181_UNKNOWN_-0.187,1,,99,-0.2468,UNKNOWN
frame_000182_UNKNOWN_-0.200,1,,102,-0.1145,UNKNOWN
frame_000183_UNKNOWN_-0.188,1,,102,-0.1205,UNKNOWN
frame_000184_UNKNOWN_-0.439,1,,100,-0.1708,UNKNOWN
frame_000185_UNKNOWN_-0.293,1,,100,-0.1123,UNKNOWN
